text,place,place_num,area,area_num,latlon
(Ε)πήρε βάγια,"{'Ήπειρος', 'Λακωνία'}",2,"{'Ήπειρος', 'Λακωνία'}",2,"[(37.9574332, 23.7108518), (36.76027945, 22.79046431389755)]"
"Άβολος ο νους, διπλός ο κόπος","{'Νίσυρος', 'Μικρά Ασία>Τσεσμές (Κρήνη)'}",2,"{'Νίσυρος', 'Μικρά Ασία'}",2,"[(36.58904575, 27.16918402255752), (38.1846366, 23.5122768)]"
Άβουλος νους διπλός κόπος,"{'Θήρα (Σαντορίνη)', 'Θράκη>Αίνος'}",2,"{'Θράκη', 'Θήρα (Σαντορίνη)'}",2,"[(40.8464241, 25.8759377), (36.4044251, 25.3958561)]"
"Άβουλος νους, διπλός ο κόπος","{'Αμοργός', 'Κρήτη', 'Ρόδος'}",3,"{'Αμοργός', 'Κρήτη', 'Ρόδος'}",3,"[(36.85252415, 25.89848696771565), (35.3084952, 24.46334231842296), (36.17262995, 27.919418145633188)]"
Άβουλος ο νους διπλός ο κόπος,"{'Ρόδος', 'Σάμος>Μαραθόκαμπος', 'Θράκη>Μάδυτος', 'Θράκη', 'Ήπειρος>Τσαμαντάς'}",5,"{'Θράκη', 'Ήπειρος', 'Σάμος', 'Ρόδος'}",4,"[(40.8464241, 25.8759377), (37.9574332, 23.7108518), (37.72461615, 26.81929189110984), (36.17262995, 27.919418145633188)]"
"Άβουλος ο νους, διπλός ο κόπος","{'Επτάνησος', 'Ήπειρος', 'Θεσπρωτία>Παραμυθιά', 'Άνδρος'}",4,"{'Επτάνησος', 'Ήπειρος', 'Θεσπρωτία', 'Άνδρος'}",4,"[(38.8351105, 20.7094392), (37.9574332, 23.7108518), (39.54401235, 20.308355368968883), (37.8408347, 24.86238235981581)]"
Άγιασε ο μαχαιροβγάλτης και πουλεί σκουρολεπίδες,"{'Ήπειρος', 'Κεφαλληνία'}",2,"{'Ήπειρος', 'Κεφαλληνία'}",2,"[(37.9574332, 23.7108518), (38.2379344, 20.560883)]"
Άγνεστα κι' ανύφαντα στην τέμπλα κρεμασμένα,"{'Αρκαδία>Γορτυνία', 'Θεσσαλία'}",2,"{'Αρκαδία', 'Θεσσαλία'}",2,"[(38.0368583, 23.6689264), (39.5594194, 21.6848495)]"
Άδειασέ μας τη γωνιά,"{'Κεφαλληνία', 'Κρήτη>Σητεία'}",2,"{'Κρήτη', 'Κεφαλληνία'}",2,"[(35.3084952, 24.46334231842296), (38.2379344, 20.560883)]"
Άδειασέ μου τη γωνιά,"{'Αδριανούπολη', 'Αρκαδία>Γορτυνία', 'Άνδρος'}",3,"{'Αδριανούπολη', 'Αρκαδία', 'Άνδρος'}",3,"[(41.6759327, 26.5587225), (38.0368583, 23.6689264), (37.8408347, 24.86238235981581)]"
Άδηλα και κρύφια,"{'Αμοργός', 'Κρήτη', 'Ήπειρος', 'Λακωνία'}",4,"{'Αμοργός', 'Κρήτη', 'Ήπειρος', 'Λακωνία'}",4,"[(36.85252415, 25.89848696771565), (35.3084952, 24.46334231842296), (37.9574332, 23.7108518), (36.76027945, 22.79046431389755)]"
Άδηλα κι κρύφια,"{'Επτάνησος', 'Ιωάννινα>Νεγάδες'}",2,"{'Επτάνησος', 'Ιωάννινα'}",2,"[(38.8351105, 20.7094392), (39.6639818, 20.8522784)]"
Άδουλος δουλειά δεν έχει το βρακί του λεί και δενει,"{'Κεφαλληνία', 'Αρκαδία>Δημητσάνα', 'Λακωνία>Σπάρτη'}",3,"{'Αρκαδία', 'Κεφαλληνία', 'Λακωνία'}",3,"[(38.0368583, 23.6689264), (38.2379344, 20.560883), (36.76027945, 22.79046431389755)]"
Άζωστος τρέχει ο γείτονας κι ο συγγενής ζωσμένος,"{'Κρήτη>Ιεράπετρα>Βαϊνιά', 'Θράκη>Σουφλί'}",2,"{'Θράκη', 'Κρήτη'}",2,"[(40.8464241, 25.8759377), (35.3084952, 24.46334231842296)]"
Άθρωπος αγράμματος ξύλο απελέκητο,"{'Θράκη>Σαράντα Εκκλησίες', 'Κρήτη>Ρέθυμνο>Μαλλάκι', 'Λέρος'}",3,"{'Θράκη', 'Κρήτη', 'Λέρος'}",3,"[(40.8464241, 25.8759377), (35.3084952, 24.46334231842296), (37.1494507, 26.84636061342387)]"
Άθρωπος αθρώπου μοιάζει,"{'Σκύρος', 'Ρόδος'}",2,"{'Σκύρος', 'Ρόδος'}",2,"[(38.87304355, 24.524477385184014), (36.17262995, 27.919418145633188)]"
"Άκληρος, άθεος","{'Μεσσηνία>Πύλος>Κορώνη', 'Αχαΐα>Πάτρα', 'Αργολίδα>Σχοινοχώρι'}",3,"{'Μεσσηνία', 'Αχαΐα', 'Αργολίδα'}",3,"[(36.986899050000005, 21.82712495001949), (38.0692748, 21.87273042232539), (37.56626615, 22.85593894780862)]"
Άκουροι και κουρεμμένοι ήταν όλοι μαζωμένοι,"{'Θεσσαλία', 'Λακωνία'}",2,"{'Λακωνία', 'Θεσσαλία'}",2,"[(36.76027945, 22.79046431389755), (39.5594194, 21.6848495)]"
Άκρες λείπες,"{'Κορινθία>Καρυά', 'Αρκαδία>Γορτυνία>Λάστα', 'Αρκαδία>Δημητσάνα'}",3,"{'Αρκαδία', 'Κορινθία'}",2,"[(38.0368583, 23.6689264), (37.96299085, 22.733342367236247)]"
Άκρες μέσες,"{'Θράκη>Σαράντα Εκκλησίες', 'Λακωνία', 'Σύμη', 'Χίος', 'Ανατολική Θράκη'}",5,"{'Λακωνία', 'Σύμη', 'Θράκη', 'Χίος', 'Ανατολική Θράκη'}",5,"[(36.76027945, 22.79046431389755), (36.6132851, 27.8380312), (40.8464241, 25.8759377), (38.37581315, 26.064655246170453), (41.6759327, 26.5587225)]"
Άλαλα τα χείλη των ασέβων,"{'Σκύρος', 'Λακωνία'}",2,"{'Σκύρος', 'Λακωνία'}",2,"[(38.87304355, 24.524477385184014), (36.76027945, 22.79046431389755)]"
Άλας κι ψωμί φάγαμι,"{'Δαρδανέλλια (Ελλήσποντος)', 'Θράκη>Μάδυτος'}",2,"{'Δαρδανέλλια (Ελλήσποντος)', 'Θράκη'}",2,"[(40.3376058, 26.6408207), (40.8464241, 25.8759377)]"
Άλλ' αντ' άλλων,"{'Επτάνησος', 'Ήπειρος'}",2,"{'Επτάνησος', 'Ήπειρος'}",2,"[(38.8351105, 20.7094392), (37.9574332, 23.7108518)]"
Άλλα 'ν'  τα μάτια του λαγού κι' άλλα της κουκουβάιας,"{'Μικρά Ασία>Κύζικος>Μηχανιώνα', 'Χίος>Νένητα', 'Ήπειρος'}",3,"{'Χίος', 'Ήπειρος', 'Μικρά Ασία'}",3,"[(38.37581315, 26.064655246170453), (37.9574332, 23.7108518), (38.1846366, 23.5122768)]"
Άλλα 'ν' τα μάτια του λαγού κι άλλα της κουκουβάγιας,"{'Μικρά Ασία>Βιθυνία>Σιγή', 'Μικρά Ασία>Βιθυνία>Τρίγλεια', 'Ήπειρος>Λοζέτσι', 'Μικρά Ασία>Σινώπη'}",4,"{'Ήπειρος', 'Μικρά Ασία'}",2,"[(37.9574332, 23.7108518), (38.1846366, 23.5122768)]"
Άλλα 'ν' τα μάτια του λαγού κι' άλλα της κουκουβάγιας,"{'Σίφνος', 'Αχαΐα>Πάτρα'}",2,"{'Αχαΐα', 'Σίφνος'}",2,"[(38.0692748, 21.87273042232539), (36.9714014, 24.70811041776585)]"
Άλλα 'ν' τα μάτια του λαγού κι' άλλα της κουκουβάιας,"{'Δαρδανέλλια (Ελλήσποντος)', 'Κύπρος', 'Μικρά Ασία>Βιθυνία>Κατιρλί', 'Εύβοια>Κύμη', 'Θράκη>Μάδυτος', 'Αχαΐα>Καλάβρυτα', 'Κεφαλληνία', 'Μακεδονία>Βογατσικό', 'Θράκη', 'Πήλιο>Ζαγορά', 'Μικρά Ασία>Κύζικος', 'Μακεδονία', 'Μακεδονία>Σισάνι>Λιμπόχοβο', 'Αχαΐα>Πάτρα', 'Μικρά Ασία>Λιβίσσι (Λειβίσσι)'}",15,"{'Δαρδανέλλια (Ελλήσποντος)', 'Κύπρος', 'Αχαΐα', 'Κεφαλληνία', 'Μικρά Ασία', 'Θράκη', 'Εύβοια', 'Πήλιο', 'Μακεδονία'}",9,"[(40.3376058, 26.6408207), (34.9823018, 33.1451285), (38.0692748, 21.87273042232539), (38.2379344, 20.560883), (38.1846366, 23.5122768), (40.8464241, 25.8759377), (38.49417235, 23.91108439913793), (39.3650875, 23.1355607), (40.6860291, 23.6933899)]"
Άλλα έχει στα χείλη κι' άλλα στην καρδιά,"{'Κεφαλληνία', 'Μικρά Ασία>Βιθυνία>Κατιρλί'}",2,"{'Κεφαλληνία', 'Μικρά Ασία'}",2,"[(38.2379344, 20.560883), (38.1846366, 23.5122768)]"
Άλλα είν' τα μάτια του λαγού κι άλλα της κουκουβάγιας,"{'Κέρκυρα', 'Βόρειος Ήπειρος'}",2,"{'Κέρκυρα', 'Βόρειος Ήπειρος'}",2,"[(39.623657, 19.9234355), (39.49035545, 20.25713680999684)]"
Άλλα λέ η λύρα μου κι' άλλα ο λυριστής μου,"{'Κάρπαθος', 'Μικρά Ασία>Λιβίσσι (Λειβίσσι)'}",2,"{'Κάρπαθος', 'Μικρά Ασία'}",2,"[(35.6136611, 27.11925668821135), (38.1846366, 23.5122768)]"
Άλλα λέ' η λύρα μας κι' άλλα η τσαμπούνα μας,"{'Κως', 'Κάρπαθος'}",2,"{'Κως', 'Κάρπαθος'}",2,"[(36.79369325, 27.084826562878217), (35.6136611, 27.11925668821135)]"
Άλλα λέει παπάς κι άλλα παπαδιά,"{'Αδριανούπολη', 'Θράκη>Αυδήμιο'}",2,"{'Αδριανούπολη', 'Θράκη'}",2,"[(41.6759327, 26.5587225), (40.8464241, 25.8759377)]"
Άλλα λογαριάζει ο γάϊδαρος κι' άλλα ο γαϊδουριάρης,"{'Μεσσηνία>Καλαμάτα', 'Μικρά Ασία>Βιθυνία>Κατιρλί', 'Κεφαλληνία', 'Αιτωλία', 'Θράκη'}",5,"{'Κεφαλληνία', 'Αιτωλία', 'Μικρά Ασία', 'Μεσσηνία', 'Θράκη'}",5,"[(38.2379344, 20.560883), (37.4204248, 24.9479564), (38.1846366, 23.5122768), (36.986899050000005, 21.82712495001949), (40.8464241, 25.8759377)]"
Άλλα λογαριάζει ο γάϊδαρος κι' άλλα ο γαϊδουρολάτης,"{'Κρήτη', 'Κεφαλληνία', 'Ημαθία>Βασσαράς'}",3,"{'Κρήτη', 'Κεφαλληνία', 'Ημαθία'}",3,"[(35.3084952, 24.46334231842296), (38.2379344, 20.560883), (40.51703795, 22.18071972652394)]"
Άλλα μελετούν τa βότζια κι άλλα κάμνει ο ζευγάς,"{'Κάλυμνος', 'Ρόδος'}",2,"{'Κάλυμνος', 'Ρόδος'}",2,"[(37.00262545, 26.992424179156217), (36.17262995, 27.919418145633188)]"
Άλλα σκαμπάζει ο γάϊδαρος κι' άλλα ο γαϊδουρολάτης,"{'Αρκαδία>Γορτυνία', 'Εύβοια'}",2,"{'Αρκαδία', 'Εύβοια'}",2,"[(38.0368583, 23.6689264), (38.49417235, 23.91108439913793)]"
Άλλα τα μάτια του λαγού κι άλλα της κουκουβάγιας,"{'Ιωάννινα>Μέγα Περιστέρι', 'Θεσπρωτία>Κωστάνα', 'Αρκαδία>Γορτυνία>Σέρβος', 'Θράκη>Αυδήμιο', 'Κοζάνη>Κοντοβούνι', 'Αρκαδία>Κυνουρία>Θυρέα'}",6,"{'Ιωάννινα', 'Κοζάνη', 'Θράκη', 'Θεσπρωτία', 'Αρκαδία'}",5,"[(39.6639818, 20.8522784), (40.3007259, 21.7883119), (40.8464241, 25.8759377), (39.54401235, 20.308355368968883), (38.0368583, 23.6689264)]"
Άλλα τα μάτια του λαγού κι' άλλα της κουκουβάγιας,"{'Ιθάκη>Ανωγή', 'Μάνη', 'Κεφαλληνία', 'Αδριανούπολη', 'Ρούμελη', 'Ανατολική Θράκη'}",6,"{'Μάνη', 'Κεφαλληνία', 'Αδριανούπολη', 'Ιθάκη', 'Ρούμελη', 'Ανατολική Θράκη'}",6,"[(41.4097472, 26.4024952), (38.2379344, 20.560883), (41.6759327, 26.5587225), (38.401896050000005, 20.67009288735949), (35.4049682, 24.7001033), (41.6759327, 26.5587225)]"
"Άλλα τα μάτια του λαγού, κι άλλα της κουκουβάγιας","{'Αδριανούπολη', 'Λέρος'}",2,"{'Αδριανούπολη', 'Λέρος'}",2,"[(41.6759327, 26.5587225), (37.1494507, 26.84636061342387)]"
Άλλα των άλλων,"{'Αμοργός', 'Ανατολική Θράκη'}",2,"{'Αμοργός', 'Ανατολική Θράκη'}",2,"[(36.85252415, 25.89848696771565), (41.6759327, 26.5587225)]"
"Άλλαι μεν βουλαί ανθρώπων, άλλα δε Θεός κελεύει","{'Επτάνησος', 'Λακωνία', 'Ήπειρος', 'Θράκη', 'Αχαΐα>Πάτρα'}",5,"{'Επτάνησος', 'Λακωνία', 'Αχαΐα', 'Ήπειρος', 'Θράκη'}",5,"[(38.8351105, 20.7094392), (36.76027945, 22.79046431389755), (38.0692748, 21.87273042232539), (37.9574332, 23.7108518), (40.8464241, 25.8759377)]"
"Άλλαι μεν βουλαί ανθρώπων, άλλα δε θεός κελεύει","{'Αμοργός', 'Επτάνησος', 'Μακεδονία', 'Ιωάννινα>Νεγάδες', 'Ήπειρος>Τσαμαντάς'}",5,"{'Αμοργός', 'Επτάνησος', 'Ιωάννινα', 'Ήπειρος', 'Μακεδονία'}",5,"[(36.85252415, 25.89848696771565), (38.8351105, 20.7094392), (39.6639818, 20.8522784), (37.9574332, 23.7108518), (40.6860291, 23.6933899)]"
Άλλαξε η πάπια κ' έβαλε τα σάπια,"{'Μικρά Ασία>Κύζικος>Αρτάκη', 'Ανατολική Θράκη'}",2,"{'Μικρά Ασία', 'Ανατολική Θράκη'}",2,"[(38.1846366, 23.5122768), (41.6759327, 26.5587225)]"
Άλλαξε ο Μανωλιός κ' έβαλε τα ρουχ' αλλιώς,"{'Μεσσηνία', 'Θράκη>Σαράντα Εκκλησίες'}",2,"{'Μεσσηνία', 'Θράκη'}",2,"[(36.986899050000005, 21.82712495001949), (40.8464241, 25.8759377)]"
Άλλαξε το φύλλο,"{'Θράκη>Πετροχώρι Μετρών', 'Μακεδονία>Βογατσικό'}",2,"{'Θράκη', 'Μακεδονία'}",2,"[(40.8464241, 25.8759377), (40.6860291, 23.6933899)]"
Άλλο Μέτσοβο χωριό,"{'Ήπειρος', 'Θεσπρωτία>Παραμυθιά', 'Ήπειρος>Δρόβιανη'}",3,"{'Ήπειρος', 'Θεσπρωτία'}",2,"[(37.9574332, 23.7108518), (39.54401235, 20.308355368968883)]"
Άλλο να δης κι άλλο ν' ακούσης,"{'Χίος', 'Αμοργός', 'Κάρπαθος'}",3,"{'Χίος', 'Αμοργός', 'Κάρπαθος'}",3,"[(38.37581315, 26.064655246170453), (36.85252415, 25.89848696771565), (35.6136611, 27.11925668821135)]"
Άλλο να το ιδής κι άλλο να τ' ακούσης,"{'Σίφνος', 'Κεφαλληνία'}",2,"{'Σίφνος', 'Κεφαλληνία'}",2,"[(36.9714014, 24.70811041776585), (38.2379344, 20.560883)]"
Άλλοι σκάβουν και κλαδεύουν κι' άλλοι πίνουν και μεθάνε,"{'Κεφαλληνία', 'Αχαΐα>Πάτρα', 'Μακεδονία>Βογατσικό'}",3,"{'Μακεδονία', 'Αχαΐα', 'Κεφαλληνία'}",3,"[(40.6860291, 23.6933899), (38.0692748, 21.87273042232539), (38.2379344, 20.560883)]"
Άλλοι σκάφτουν κ' κλαδεύουν κ' άλλοι πίνουν κ' χορεύουν,"{'Μεσσηνία', 'Αρκαδία>Γορτυνία'}",2,"{'Μεσσηνία', 'Αρκαδία'}",2,"[(36.986899050000005, 21.82712495001949), (38.0368583, 23.6689264)]"
Άλλοι σκάφτουν και κλαδεύουν κι' άλλοι πίνουν και μεθούν,"{'Αθήνα', 'Ημαθία>Βέροια', 'Μακεδονία>Βογατσικό', 'Θεσπρωτία>Παραμυθιά'}",4,"{'Αθήνα', 'Ημαθία', 'Μακεδονία', 'Θεσπρωτία'}",4,"[(37.9839412, 23.7283052), (40.51703795, 22.18071972652394), (40.6860291, 23.6933899), (39.54401235, 20.308355368968883)]"
Άλλοι σκάφτουν και τρυγούν κι' άλλοι πίνουν κί μεθούν,"{'Αδριανούπολη', 'Μακεδονία>Γρεβενά>Ανασελίτσα'}",2,"{'Αδριανούπολη', 'Μακεδονία'}",2,"[(41.6759327, 26.5587225), (40.6860291, 23.6933899)]"
Άλλοι σπέρνουν και θερίζουν κι άλλοι τρων και μακαρίζουν,"{'Ήπειρος', 'Κρήτη>Μεραμβέλλο>Βουλισμένη'}",2,"{'Κρήτη', 'Ήπειρος'}",2,"[(35.3084952, 24.46334231842296), (37.9574332, 23.7108518)]"
Άλλοι σπέρνουν και θερίζουν κι' άλλοι τρων και μαγαρίζουν,"{'Αδριανούπολη', 'Αρκαδία>Γορτυνία', 'Ρόδος'}",3,"{'Αδριανούπολη', 'Αρκαδία', 'Ρόδος'}",3,"[(41.6759327, 26.5587225), (38.0368583, 23.6689264), (36.17262995, 27.919418145633188)]"
Άλλοι σπέρνουν και θερίζουν κι' άλλοι τρων και μακαρίζουν,"{'Αμοργός', 'Κρήτη'}",2,"{'Αμοργός', 'Κρήτη'}",2,"[(36.85252415, 25.89848696771565), (35.3084952, 24.46334231842296)]"
Άλλοι ψυχομαχάνε κι' άλλοι καυλομαχάνε,"{'Αρκαδία>Γορτυνία', 'Αχαΐα>Πάτρα'}",2,"{'Αρκαδία', 'Αχαΐα'}",2,"[(38.0368583, 23.6689264), (38.0692748, 21.87273042232539)]"
Άλλοι ψυχομαχούν κι' άλλοι καυλομαχούν,"{'Κύπρος', 'Μικρά Ασία>Χιλή'}",2,"{'Κύπρος', 'Μικρά Ασία'}",2,"[(34.9823018, 33.1451285), (38.1846366, 23.5122768)]"
Άλλος έκαιε τα γένεια κι άλλος έλεγε στάκα ν' ανάψω το τσιγάρο μου,"{'Ήπειρος', 'Λακωνία'}",2,"{'Ήπειρος', 'Λακωνία'}",2,"[(37.9574332, 23.7108518), (36.76027945, 22.79046431389755)]"
Άλλος έφαγε τα σύκα κι άλλος τα πληρώνει,"{'Μεσσηνία', 'Λακωνία'}",2,"{'Μεσσηνία', 'Λακωνία'}",2,"[(36.986899050000005, 21.82712495001949), (36.76027945, 22.79046431389755)]"
Άλλος έφαγε τα σύκα κι' άλλος τα πλερώνει,"{'Μεσσηνία', 'Αχαΐα>Πάτρα'}",2,"{'Μεσσηνία', 'Αχαΐα'}",2,"[(36.986899050000005, 21.82712495001949), (38.0692748, 21.87273042232539)]"
Άλλος έχασκε κι άλλος εμετάλαβε,"{'Ήπειρος', 'Κρήτη>Ρέθυμνο>Μαλλάκι', 'Κρήτη>Βιάννος'}",3,"{'Κρήτη', 'Ήπειρος'}",2,"[(35.3084952, 24.46334231842296), (37.9574332, 23.7108518)]"
Άλλος έχασκε κι' άλλος εμετάλαβε,"{'Επτάνησος', 'Ιθάκη>Ανωγή', 'Κεφαλληνία', 'Κύπρος>Κοίλη', 'Αχαΐα>Πάτρα', 'Μεσσηνία>Αβία>Κάμπος'}",6,"{'Επτάνησος', 'Κύπρος', 'Αχαΐα', 'Κεφαλληνία', 'Μεσσηνία', 'Ιθάκη'}",6,"[(38.8351105, 20.7094392), (34.9823018, 33.1451285), (38.0692748, 21.87273042232539), (38.2379344, 20.560883), (36.986899050000005, 21.82712495001949), (38.401896050000005, 20.67009288735949)]"
Άλλος έχει τ' όνομα κι άλλος τη χάρη,"{'Νάξος>Απείρανθος', 'Ρόδος'}",2,"{'Νάξος', 'Ρόδος'}",2,"[(37.06001045, 25.47075670857837), (36.17262995, 27.919418145633188)]"
Άλλος αγαπάει τον παπά κι' άλλος την παπαδιά,"{'Αρκαδία>Γορτυνία', 'Ιωάννινα'}",2,"{'Αρκαδία', 'Ιωάννινα'}",2,"[(38.0368583, 23.6689264), (39.6639818, 20.8522784)]"
Άλλος κάμνει κι' άλλος βρίσκει,"{'Θράκη', 'Ανατολική Θράκη'}",2,"{'Θράκη', 'Ανατολική Θράκη'}",2,"[(40.8464241, 25.8759377), (41.6759327, 26.5587225)]"
Άλλος σκάφτει και κλαδεύει κι' άλλος πίνει και μεθάει,"{'Επτάνησος', 'Ιθάκη', 'Ήπειρος', 'Κεφαλληνία'}",4,"{'Επτάνησος', 'Ιθάκη', 'Ήπειρος', 'Κεφαλληνία'}",4,"[(38.8351105, 20.7094392), (38.401896050000005, 20.67009288735949), (37.9574332, 23.7108518), (38.2379344, 20.560883)]"
Άλλος σκάφτει και κλαδεύει κι' άλλος πίνει και χορεύει,"{'Μακεδονία', 'Κοζάνη>Βελβεντός'}",2,"{'Μακεδονία', 'Κοζάνη'}",2,"[(40.6860291, 23.6933899), (40.3007259, 21.7883119)]"
Άλλος χάσκει κι άλλος χάφτει,"{'Ιωάννινα', 'Ήπειρος', 'Κοζάνη>Βόϊο>Ζώνη', 'Φιλιππούπολη'}",4,"{'Κοζάνη', 'Ιωάννινα', 'Ήπειρος', 'Φιλιππούπολη'}",4,"[(40.3007259, 21.7883119), (39.6639818, 20.8522784), (37.9574332, 23.7108518), (39.6327644, 22.3965233)]"
Άλλος χάσκει κι' άλλος χάφτει,"{'Αρκαδία>Γορτυνία', 'Κεφαλληνία'}",2,"{'Αρκαδία', 'Κεφαλληνία'}",2,"[(38.0368583, 23.6689264), (38.2379344, 20.560883)]"
Άλλος ψυχομαχά κι' άλλος καυλομαχά,"{'Μικρά Ασία>Βουρλά', 'Πάρος', 'Μικρά Ασία>Κύζικος>Πάνορμος'}",3,"{'Πάρος', 'Μικρά Ασία'}",2,"[(37.0651048, 25.1921674022054), (38.1846366, 23.5122768)]"
Άλλος ψυχομαχά κι' άλλος ταυρομαχά,"{'Μάνη', 'Λακωνία'}",2,"{'Μάνη', 'Λακωνία'}",2,"[(41.4097472, 26.4024952), (36.76027945, 22.79046431389755)]"
"Άλλοτε τυροπωλούσαμε, τώρα τυρί αγοράζουμε","{'Αρκαδία>Γορτυνία', 'Ήπειρος'}",2,"{'Αρκαδία', 'Ήπειρος'}",2,"[(38.0368583, 23.6689264), (37.9574332, 23.7108518)]"
Άλλους έχασκι κι' άλλους μιτάλαβι,"{'Σάμος>Μαραθόκαμπος', 'Κεφαλληνία'}",2,"{'Κεφαλληνία', 'Σάμος'}",2,"[(38.2379344, 20.560883), (37.72461615, 26.81929189110984)]"
Άλλους σπέρνει στί θερίζ' τσ' άλλους τρώ' τσί μακαρίζ',"{'Δαρδανέλλια (Ελλήσποντος)', 'Λέσβος>Πέτρα'}",2,"{'Δαρδανέλλια (Ελλήσποντος)', 'Λέσβος'}",2,"[(40.3376058, 26.6408207), (39.17584185, 25.99891345023241)]"
Άλλους του παπά κι' άλλους τ' παπαδιά,"{'Θράκη', 'Θράκη>Μάδυτος', 'Μακεδονία'}",3,"{'Θράκη', 'Μακεδονία'}",2,"[(40.8464241, 25.8759377), (40.6860291, 23.6933899)]"
Άλογο κλάν' στ' φασουλλά τ' αλάν',"{'Τήνος', 'Λέσβος>Τελώνια'}",2,"{'Τήνος', 'Λέσβος'}",2,"[(37.60140255, 25.154143660887826), (39.17584185, 25.99891345023241)]"
Άμωμοι εν οδώ,"{'Ιωάννινα>Νεγάδες', 'Ήπειρος', 'Λακωνία'}",3,"{'Ιωάννινα', 'Ήπειρος', 'Λακωνία'}",3,"[(39.6639818, 20.8522784), (37.9574332, 23.7108518), (36.76027945, 22.79046431389755)]"
Άμωμος εν οδώ,"{'Ήπειρος', 'Λακωνία'}",2,"{'Ήπειρος', 'Λακωνία'}",2,"[(37.9574332, 23.7108518), (36.76027945, 22.79046431389755)]"
Άναψε και κόρωσε,"{'Θράκη>Αίνος', 'Πήλιο>Ζαγορά'}",2,"{'Θράκη', 'Πήλιο'}",2,"[(40.8464241, 25.8759377), (39.3650875, 23.1355607)]"
Άναψε το λυχναρι σου προτου να σ' εύρ' η νύχτα,"{'Πάρος', 'Κεφαλληνία>Άσσος', 'Εύβοια>Κύμη'}",3,"{'Πάρος', 'Κεφαλληνία', 'Εύβοια'}",3,"[(37.0651048, 25.1921674022054), (38.2379344, 20.560883), (38.49417235, 23.91108439913793)]"
Άναψε το λυχναρι σου προτου να σ' εύρη η νύχτα,"{'Νίσυρος', 'Αιτωλοακαρνανία>Ναύπακτος'}",2,"{'Νίσυρος', 'Αιτωλοακαρνανία'}",2,"[(36.58904575, 27.16918402255752), (38.2558495, 21.7377752)]"
Άναψε το σίδηρο,"{'Πελοπόννησος', 'Λακωνία'}",2,"{'Πελοπόννησος', 'Λακωνία'}",2,"[(37.36332825, 22.239537343995494), (36.76027945, 22.79046431389755)]"
"Άνδρα θέλω, τώρα θέλω","{'Επτάνησος', 'Ήπειρος'}",2,"{'Επτάνησος', 'Ήπειρος'}",2,"[(38.8351105, 20.7094392), (37.9574332, 23.7108518)]"
Άνεμος και του καπνού,"{'Ανάφη', 'Κάρπαθος'}",2,"{'Ανάφη', 'Κάρπαθος'}",2,"[(36.37344365, 25.77730028296469), (35.6136611, 27.11925668821135)]"
Άνθρακες ο θησαυρός,"{'Κύπρος', 'Αχαΐα>Πάτρα', 'Ανατολική Θράκη'}",3,"{'Κύπρος', 'Ανατολική Θράκη', 'Αχαΐα'}",3,"[(34.9823018, 33.1451285), (41.6759327, 26.5587225), (38.0692748, 21.87273042232539)]"
Άνθρουπους αγράμματους ξύλου απιλέκητου,"{'Αδριανούπολη', 'Σέρρες'}",2,"{'Αδριανούπολη', 'Σέρρες'}",2,"[(41.6759327, 26.5587225), (41.0910711, 23.5498031)]"
"Άνθρωπο βλέπεις, καρδία δεν ξέρεις","{'Θεσπρωτία>Κωστάνα', 'Ανατολική Θράκη'}",2,"{'Ανατολική Θράκη', 'Θεσπρωτία'}",2,"[(41.6759327, 26.5587225), (39.54401235, 20.308355368968883)]"
"Άνθρωπο βλέπεις, καρδιά δε γνωρίζεις","{'Κοζάνη>Βόϊο>Ζώνη', 'Αχαΐα>Πάτρα'}",2,"{'Κοζάνη', 'Αχαΐα'}",2,"[(40.3007259, 21.7883119), (38.0692748, 21.87273042232539)]"
Άνθρωπον από γενιάν και σκύλον από μάντραν,"{'Αμοργός', 'Κάρπαθος'}",2,"{'Αμοργός', 'Κάρπαθος'}",2,"[(36.85252415, 25.89848696771565), (35.6136611, 27.11925668821135)]"
Άνθρωπος αγράμματος ξύλο απελέκητο,"{'Ιωάννινα>Μέγα Περιστέρι', 'Φιλιππούπολη', 'Θεσπρωτία>Κωστάνα', 'Θράκη>Αυδήμιο', 'Καστοριά', 'Ημαθία>Βασσαράς', 'Πρέβεζα>Πάργα>Καρυδέα', 'Μικρά Ασία>Βιθυνία>Σιγή', 'Θεσπρωτία>Παραμυθιά', 'Μακεδονία>Καταφύγι', 'Βοιωτία>Αράχωβα', 'Ανατολική Θράκη', 'Ικαρία>Ράχες', 'Αχαΐα>Πάτρα'}",14,"{'Ημαθία', 'Ιωάννινα', 'Φιλιππούπολη', 'Βοιωτία', 'Αχαΐα', 'Καστοριά', 'Μικρά Ασία', 'Θράκη', 'Ικαρία', 'Θεσπρωτία', 'Ανατολική Θράκη', 'Μακεδονία', 'Πρέβεζα'}",13,"[(40.51703795, 22.18071972652394), (39.6639818, 20.8522784), (39.6327644, 22.3965233), (38.3715324, 23.0574549), (38.0692748, 21.87273042232539), (40.5217946, 21.2634954), (38.1846366, 23.5122768), (40.8464241, 25.8759377), (37.599929450000005, 26.151689404867284), (39.54401235, 20.308355368968883), (41.6759327, 26.5587225), (40.6860291, 23.6933899), (38.9571673, 20.7516209)]"
