text,place,place_num,area,area_num,latlon
Όπου δεν πίπτει λόγος πίπτει ράβδος,"{'Μικρά Ασία>Κυδωνία', 'Αρκαδία>Γορτυνία'}",2,"{'Αρκαδία', 'Μικρά Ασία'}",2,"[(38.0368583, 23.6689264), (38.1846366, 23.5122768)]"
Όπου ευλογιά βγαίνει ευλογιά μπαίνει,"{'Ανάφη', 'Λακωνία'}",2,"{'Ανάφη', 'Λακωνία'}",2,"[(36.37344365, 25.77730028296469), (36.76027945, 22.79046431389755)]"
Όπου ζη μεταζώνεται,"{'Θήρα (Σαντορίνη)', 'Κύθνος'}",2,"{'Θήρα (Σαντορίνη)', 'Κύθνος'}",2,"[(36.4044251, 25.3958561), (37.39122345, 24.42602760815703)]"
"Όπου ζη, μεταζένεται","{'Μικρά Ασία>Τσεσμές (Κρήνη)', 'Σάμος'}",2,"{'Σάμος', 'Μικρά Ασία'}",2,"[(37.72461615, 26.81929189110984), (38.1846366, 23.5122768)]"
Όπου η κλώσσα και τα πουλιά,"{'Λακωνία', 'Θεσσαλία'}",2,"{'Θεσσαλία', 'Λακωνία'}",2,"[(39.5594194, 21.6848495), (36.76027945, 22.79046431389755)]"
Όπου καή στο ζεστό φυσάει και το κρύο,"{'Ιωάννινα', 'Λακωνία'}",2,"{'Ιωάννινα', 'Λακωνία'}",2,"[(39.6639818, 20.8522784), (36.76027945, 22.79046431389755)]"
"Όπου λαλούν πολλά κοκόρια, αργεί να ξημερώση","{'Θεσπρωτία>Κωστάνα', 'Ρούμελη', 'Κοζάνη>Κοντοβούνι'}",3,"{'Κοζάνη', 'Ρούμελη', 'Θεσπρωτία'}",3,"[(40.3007259, 21.7883119), (35.4049682, 24.7001033), (39.54401235, 20.308355368968883)]"
Όπου λαλούν πολλοί κοκκόροι αργεί να ξημερώση,"{'Αρκαδία>Γορτυνία>Σέρβος', 'Ημαθία>Βασσαράς', 'Ρούμελη', 'Θεσπρωτία>Παραμυθιά'}",4,"{'Αρκαδία', 'Ημαθία', 'Θεσπρωτία', 'Ρούμελη'}",4,"[(38.0368583, 23.6689264), (40.51703795, 22.18071972652394), (39.54401235, 20.308355368968883), (35.4049682, 24.7001033)]"
Όπου λαλούν πολλοί κοκόροι αργεί να ξημερώση,"{'Μάνη', 'Κεφαλληνία', 'Ημαθία>Βασσαράς', 'Θράκη>Σουφλί', 'Λακωνία>Σπάρτη'}",5,"{'Μάνη', 'Ημαθία', 'Λακωνία', 'Κεφαλληνία', 'Θράκη'}",5,"[(41.4097472, 26.4024952), (40.51703795, 22.18071972652394), (36.76027945, 22.79046431389755), (38.2379344, 20.560883), (40.8464241, 25.8759377)]"
"Όπου λαλούν πολλοί κοκόροι, αργεί να ξημερώση","{'Καρδίτσα>Μορφοβούνι', 'Αρκαδία>Λεοντάρι', 'Πρέβεζα>Πάργα>Καρυδέα'}",3,"{'Αρκαδία', 'Πρέβεζα', 'Καρδίτσα'}",3,"[(38.0368583, 23.6689264), (38.9571673, 20.7516209), (39.3660304, 21.9287519)]"
Όπου λαλούν πολλοί πετεινοί αργεί να ξημερώσει,"{'Αδριανούπολη', 'Μικρά Ασία>Κυδωνία'}",2,"{'Αδριανούπολη', 'Μικρά Ασία'}",2,"[(41.6759327, 26.5587225), (38.1846366, 23.5122768)]"
Όπου λαλούν πολλοί πετεινοί αργεί να ξημερώση,"{'Δαρδανέλλια (Ελλήσποντος)', 'Επτάνησος', 'Κεφαλληνία>Λειβαθώ', 'Άνδρος', 'Θράκη', 'Θράκη>Αίνος', 'Θράκη>Σηλυβρία', 'Μακεδονία'}",8,"{'Δαρδανέλλια (Ελλήσποντος)', 'Επτάνησος', 'Κεφαλληνία', 'Άνδρος', 'Θράκη', 'Μακεδονία'}",6,"[(40.3376058, 26.6408207), (38.8351105, 20.7094392), (38.2379344, 20.560883), (37.8408347, 24.86238235981581), (40.8464241, 25.8759377), (40.6860291, 23.6933899)]"
"Όπου λαλούν πολλοί πετεινοί, αργεί να ξημερώση","{'Κοζάνη>Βόϊο>Γαλατινή', 'Μικρά Ασία>Βιθυνία>Τρίγλεια', 'Λέρος', 'Άνδρος', 'Ανατολική Θράκη'}",5,"{'Λέρος', 'Μικρά Ασία', 'Άνδρος', 'Κοζάνη', 'Ανατολική Θράκη'}",5,"[(37.1494507, 26.84636061342387), (38.1846366, 23.5122768), (37.8408347, 24.86238235981581), (40.3007259, 21.7883119), (41.6759327, 26.5587225)]"
Όπου μπαίνει ήλιος δε μπαίνει γιατρός. Κι όπου δεν μπαίνει ήλιος μπαίνει γιατρός.,"{'Αδριανούπολη', 'Αχαΐα>Πάτρα'}",2,"{'Αδριανούπολη', 'Αχαΐα'}",2,"[(41.6759327, 26.5587225), (38.0692748, 21.87273042232539)]"
Όπου ο Θεός δίνει το αλεύρι παἰρν' ο διάβολος το τσουβάλι,"{'Θεσσαλία', 'Λακωνία'}",2,"{'Λακωνία', 'Θεσσαλία'}",2,"[(36.76027945, 22.79046431389755), (39.5594194, 21.6848495)]"
Όπου πολλοί πετεινοί αργεί να ξημερώση,"{'Μικρά Ασία>Σινώπη', 'Κάρπαθος'}",2,"{'Κάρπαθος', 'Μικρά Ασία'}",2,"[(35.6136611, 27.11925668821135), (38.1846366, 23.5122768)]"
"Όπου πολλοί πετεινοί, αργεί να ξημερώση","{'Κρήτη', 'Θήρα (Σαντορίνη)', 'Κρήτη>Ινναχώριο>Αερινός'}",3,"{'Κρήτη', 'Θήρα (Σαντορίνη)'}",2,"[(35.3084952, 24.46334231842296), (36.4044251, 25.3958561)]"
Όπου πολύ διαλέγει στη λάσπη κατανταίνει,"{'Μάνη', 'Λακωνία'}",2,"{'Μάνη', 'Λακωνία'}",2,"[(41.4097472, 26.4024952), (36.76027945, 22.79046431389755)]"
Όπου τάβλα και  μαντήλι δέξου και τον κυρ Βασίλη,"{'Θήρα (Σαντορίνη)', 'Λακωνία'}",2,"{'Θήρα (Σαντορίνη)', 'Λακωνία'}",2,"[(36.4044251, 25.3958561), (36.76027945, 22.79046431389755)]"
Όπου τάβλα και μαντήλι δέξου και τον κυρ-Βασίλη,"{'Δαρδανέλλια (Ελλήσποντος)', 'Αμοργός', 'Μικρά Ασία>Κύζικος>Αρτάκη'}",3,"{'Δαρδανέλλια (Ελλήσποντος)', 'Αμοργός', 'Μικρά Ασία'}",3,"[(40.3376058, 26.6408207), (36.85252415, 25.89848696771565), (38.1846366, 23.5122768)]"
Όπου το βγάλ' η άκρη,"{'Θράκη>Σαράντα Εκκλησίες', 'Κορινθία>Τρίκαλα'}",2,"{'Θράκη', 'Κορινθία'}",2,"[(40.8464241, 25.8759377), (37.96299085, 22.733342367236247)]"
Όπου το πτώμα εκεί και οι αετοί,"{'Λακωνία', 'Μικρά Ασία>Λιβίσσι (Λειβίσσι)'}",2,"{'Λακωνία', 'Μικρά Ασία'}",2,"[(36.76027945, 22.79046431389755), (38.1846366, 23.5122768)]"
Όπου του μέλλει να πνιγή ποτέ του δεν πεθαίνει,"{'Μεσσηνία>Καλαμάτα', 'Κέα'}",2,"{'Μεσσηνία', 'Κέα'}",2,"[(36.986899050000005, 21.82712495001949), (37.60486035, 24.327495802205405)]"
"Όπου του μέλλει να πνιγή, ποτέ του δεν παιθαίνει","{'Θεσπρωτία>Κωστάνα', 'Κεφαλληνία>Παλική'}",2,"{'Κεφαλληνία', 'Θεσπρωτία'}",2,"[(38.2379344, 20.560883), (39.54401235, 20.308355368968883)]"
"Όπου χτυπά τη γυναίκα και του χτυπά σάκκο αλεύρι, βγαίνει το ψηλό και μένει το χοντρό","{'Ανάφη', 'Λακωνία'}",2,"{'Ανάφη', 'Λακωνία'}",2,"[(36.37344365, 25.77730028296469), (36.76027945, 22.79046431389755)]"
Όπους λάχαμαν,"{'Ήπειρος>Ζαγόρι', 'Ιωάννινα>Νεγάδες'}",2,"{'Ιωάννινα', 'Ήπειρος'}",2,"[(39.6639818, 20.8522784), (37.9574332, 23.7108518)]"
Όπως δουλεύης πληρώνεσαι,"{'Θεσπρωτία>Κωστάνα', 'Ιωάννινα>Μέγα Περιστέρι'}",2,"{'Ιωάννινα', 'Θεσπρωτία'}",2,"[(39.6639818, 20.8522784), (39.54401235, 20.308355368968883)]"
Όπως ο κόσμος κι ο Κοσμάς,"{'Θράκη>Σαράντα Εκκλησίες', 'Αδριανούπολη'}",2,"{'Θράκη', 'Αδριανούπολη'}",2,"[(40.8464241, 25.8759377), (41.6759327, 26.5587225)]"
Όπως ο κόσμος κι' ο Κοσμάς,"{'Αδριανούπολη', 'Σέρρες'}",2,"{'Αδριανούπολη', 'Σέρρες'}",2,"[(41.6759327, 26.5587225), (41.0910711, 23.5498031)]"
"Όπως ο κόσμος, κι' ο Κοσμάς","{'Μακεδονία', 'Ανατολική Θράκη'}",2,"{'Μακεδονία', 'Ανατολική Θράκη'}",2,"[(40.6860291, 23.6933899), (41.6759327, 26.5587225)]"
Όριον έθου,"{'Αμοργός', 'Κρήτη', 'Ήπειρος', 'Μακεδονία'}",4,"{'Αμοργός', 'Κρήτη', 'Ήπειρος', 'Μακεδονία'}",4,"[(36.85252415, 25.89848696771565), (35.3084952, 24.46334231842296), (37.9574332, 23.7108518), (40.6860291, 23.6933899)]"
"Όρνιθα γαμπρός, κουρούνα νύφη","{'Μάνη>Αβία', 'Μικρά Ασία>Τσεσμές (Κρήνη)'}",2,"{'Μάνη', 'Μικρά Ασία'}",2,"[(41.4097472, 26.4024952), (38.1846366, 23.5122768)]"
"Όρσε γαμπρέ, κουφέτα","{'Λακωνία', 'Άνδρος'}",2,"{'Λακωνία', 'Άνδρος'}",2,"[(36.76027945, 22.79046431389755), (37.8408347, 24.86238235981581)]"
Όσ' αλέθ' ου μύλους,"{'Ήπειρος>Ζαγόρι', 'Ιωάννινα>Νεγάδες'}",2,"{'Ιωάννινα', 'Ήπειρος'}",2,"[(39.6639818, 20.8522784), (37.9574332, 23.7108518)]"
Όσ' αριώνουν τα παλούκια τόσ' αδυνατίζ' ο φράχτης,"{'Πελοπόννησος', 'Λακωνία'}",2,"{'Πελοπόννησος', 'Λακωνία'}",2,"[(37.36332825, 22.239537343995494), (36.76027945, 22.79046431389755)]"
Όσ' ο νους μου στο χωράφι τόσο να βρεθούν τα βόιδια,"{'Ήπειρος>Κόνιτσα', 'Αχαΐα>Πάτρα'}",2,"{'Αχαΐα', 'Ήπειρος'}",2,"[(38.0692748, 21.87273042232539), (37.9574332, 23.7108518)]"
Όσα δε φτάνει η αλεπού τα κάνει κρεμαστάρια,"{'Θεσπρωτία>Κωστάνα', 'Αρκαδία>Κυνουρία>Θυρέα', 'Λέρος'}",3,"{'Αρκαδία', 'Λέρος', 'Θεσπρωτία'}",3,"[(38.0368583, 23.6689264), (37.1494507, 26.84636061342387), (39.54401235, 20.308355368968883)]"
Όσα δεν φτάνει η αλεπού τα κάνει κρεμαστάρια,"{'Ικαρία', 'Καρδίτσα>Μορφοβούνι'}",2,"{'Ικαρία', 'Καρδίτσα'}",2,"[(37.599929450000005, 26.151689404867284), (39.3660304, 21.9287519)]"
"Όσα κεφάλια, τόσα μυαλά","{'Επτάνησος', 'Κεφαλληνία'}",2,"{'Επτάνησος', 'Κεφαλληνία'}",2,"[(38.8351105, 20.7094392), (38.2379344, 20.560883)]"
Όσα ξέρ' ο νοικοκύρης δεν τα ξέρ' ο κόσμος ούλος,"{'Μακεδονία>Σισάνι>Λιμπόχοβο', 'Αχαΐα>Πάτρα'}",2,"{'Μακεδονία', 'Αχαΐα'}",2,"[(40.6860291, 23.6933899), (38.0692748, 21.87273042232539)]"
Όσα ξέρ' ο νοικοκύρης δεν τα ξέρ' ο κόσμος όλος,"{'Αμοργός', 'Ιωάννινα>Μέγα Περιστέρι', 'Ιωάννινα', 'Ήπειρος>Κόνιτσα', 'Κρήτη>Λασίθι>Λατσίδα'}",5,"{'Αμοργός', 'Κρήτη', 'Ιωάννινα', 'Ήπειρος'}",4,"[(36.85252415, 25.89848696771565), (35.3084952, 24.46334231842296), (39.6639818, 20.8522784), (37.9574332, 23.7108518)]"
Όσα ξέρ' ο νοικοκύρης δεν τα ξέρ' ο μουσαφίρης,"{'Θεσπρωτία>Παραμυθιά', 'Ιθάκη', 'Θεσσαλία', 'Μακεδονία', 'Αχαΐα>Πάτρα'}",5,"{'Αχαΐα', 'Ιθάκη', 'Θεσσαλία', 'Θεσπρωτία', 'Μακεδονία'}",5,"[(38.0692748, 21.87273042232539), (38.401896050000005, 20.67009288735949), (39.5594194, 21.6848495), (39.54401235, 20.308355368968883), (40.6860291, 23.6933899)]"
Όσα ξέρει ο νοικοκύρης δεν τα ξέρει ο κόσμος όλος,"{'Κύπρος>Λευκόνοικο', 'Αρκαδία>Γορτυνία', 'Κεφαλληνία>Λειβαθώ', 'Κεφαλληνία'}",4,"{'Αρκαδία', 'Κύπρος', 'Κεφαλληνία'}",3,"[(38.0368583, 23.6689264), (34.9823018, 33.1451285), (38.2379344, 20.560883)]"
Όσα ξέρει ο νοικοκύρης δεν τα ξέρει ο μουσαφίρης,"{'Κεφαλληνία>Λειβαθώ', 'Κοζάνη>Βόϊο>Ζώνη', 'Θεσπρωτία>Παραμυθιά'}",3,"{'Κοζάνη', 'Κεφαλληνία', 'Θεσπρωτία'}",3,"[(40.3007259, 21.7883119), (38.2379344, 20.560883), (39.54401235, 20.308355368968883)]"
Όσα ξερ ο νοικοκύρς δεν τα ξερ η χώρα όλ',"{'Αδριανούπολη', 'Μακεδονία>Βογατσικό'}",2,"{'Αδριανούπολη', 'Μακεδονία'}",2,"[(41.6759327, 26.5587225), (40.6860291, 23.6933899)]"
Όσα παν κι όσα 'ρθουν,"{'Αρκαδία>Γορτυνία', 'Λακωνία'}",2,"{'Αρκαδία', 'Λακωνία'}",2,"[(38.0368583, 23.6689264), (36.76027945, 22.79046431389755)]"
Όσα σερν' η σκούπα,"{'Θράκη', 'Άνδρος', 'Μικρά Ασία>Χιλή', 'Φιλιππούπολη'}",4,"{'Θράκη', 'Φιλιππούπολη', 'Μικρά Ασία', 'Άνδρος'}",4,"[(40.8464241, 25.8759377), (39.6327644, 22.3965233), (38.1846366, 23.5122768), (37.8408347, 24.86238235981581)]"
"Όσα σκεπάζ' ο Ουρανός, τόσα σκεπάζ' η μάννα","{'Κεφαλληνία>Παλική', 'Αχαΐα>Πάτρα'}",2,"{'Αχαΐα', 'Κεφαλληνία'}",2,"[(38.0692748, 21.87273042232539), (38.2379344, 20.560883)]"
"Όσα σκυλιά με βάβιξαν, ούλα λύσσα τα 'πιασε","{'Αρκαδία>Κυνουρία>Βούρβουρα', 'Λακωνία>Καρυές (Αράχωβα)'}",2,"{'Αρκαδία', 'Λακωνία'}",2,"[(38.0368583, 23.6689264), (36.76027945, 22.79046431389755)]"
Όσες άφτουν μαγειρεύουν; κι όσες κατουρούν το ίδιο έχουν,"{'Ανάφη', 'Λακωνία'}",2,"{'Ανάφη', 'Λακωνία'}",2,"[(36.37344365, 25.77730028296469), (36.76027945, 22.79046431389755)]"
Όσο αξίζει ο Μιστράς δεν αξίζει όλος ο Μουργιάς,"{'Πελοπόννησος', 'Λακωνία'}",2,"{'Πελοπόννησος', 'Λακωνία'}",2,"[(37.36332825, 22.239537343995494), (36.76027945, 22.79046431389755)]"
"Όσο βιάζεται η γριά, τόσο κόβεται η κλωστή","{'Μακεδονία>Γρεβενά>Βάρη', 'Κοζάνη>Βόϊο>Γαλατινή'}",2,"{'Μακεδονία', 'Κοζάνη'}",2,"[(40.6860291, 23.6933899), (40.3007259, 21.7883119)]"
Όσο θέλεις δούλευε κι όσο θέλει ο Θεός σου δίνει,"{'Επτάνησος', 'Αρκαδία>Γορτυνία'}",2,"{'Επτάνησος', 'Αρκαδία'}",2,"[(38.8351105, 20.7094392), (38.0368583, 23.6689264)]"
Όσο καταρειέσαι τ' άλογο τόσο η τρίχα του γυαλίζει,"{'Αθήνα', 'Λακωνία'}",2,"{'Αθήνα', 'Λακωνία'}",2,"[(37.9839412, 23.7283052), (36.76027945, 22.79046431389755)]"
